classifier_variant,family,model,n_pairs,generic_match,pedagogy_match,mean_delta,bootstrap_ci_low,bootstrap_ci_high,improved_pairs,worsened_pairs,mcnemar_exact_p
hybrid_svm,standard,minimax-m2.7,1004,0.26095617529880477,0.4452191235059761,0.18426294820717132,0.14641434262948208,0.22211155378486055,297,112,2.0034049050127224e-20
hybrid_svm,standard,minimax-m3,1004,0.31772908366533864,0.45617529880478086,0.13844621513944222,0.09760956175298804,0.1802788844621514,286,147,2.2495207953485604e-11
hybrid_svm,standard,qwen3.5-4b,1004,0.3197211155378486,0.4292828685258964,0.10956175298804781,0.07171314741035857,0.14741035856573706,253,143,3.551059699973301e-08
hybrid_svm,standard,qwen3.8-27b,1004,0.28884462151394424,0.4362549800796813,0.14741035856573706,0.10956175298804781,0.18426294820717132,265,117,2.584013270242886e-14
word_svm,hard,deepseek-v4-flash,266,0.16165413533834586,0.32706766917293234,0.16541353383458646,0.09774436090225563,0.22932330827067668,65,21,2.1531788923465577e-06
word_svm,hard,deepseek-v4-pro,266,0.20300751879699247,0.3533834586466165,0.15037593984962405,0.08646616541353383,0.21804511278195488,63,23,1.8762796900073088e-05
word_svm,hard,doubao-seed-2.0-lite,266,0.15037593984962405,0.24812030075187969,0.09774436090225563,0.03759398496240601,0.15789473684210525,48,22,0.0025475648982539578
word_svm,hard,doubao-seed-2.0-pro,266,0.18796992481203006,0.3383458646616541,0.15037593984962405,0.08270676691729323,0.21804511278195488,67,27,4.496432091968554e-05
word_svm,hard,glm-5.2,266,0.2669172932330827,0.39473684210526316,0.12781954887218044,0.05629699248120304,0.20300751879699247,70,36,0.0012402397143976502
word_svm,hard,minimax-m2.7,266,0.12781954887218044,0.2706766917293233,0.14285714285714285,0.08270676691729323,0.20676691729323307,59,21,2.5291102564670602e-05
word_svm,hard,minimax-m3,266,0.18796992481203006,0.37218045112781956,0.18421052631578946,0.11278195488721804,0.2556390977443609,78,29,2.351892746999197e-06
word_svm,hard,qwen3.5-4b,266,0.14661654135338345,0.30451127819548873,0.15789473684210525,0.08646616541353383,0.22932330827067668,69,27,2.148435253799241e-05
word_svm,hard,qwen3.8-27b,266,0.19548872180451127,0.3233082706766917,0.12781954887218044,0.06015037593984962,0.19548872180451127,60,26,0.00031699928227764087
word_svm,standard,deepseek-v4-flash,1004,0.36752988047808766,0.44223107569721115,0.07470119521912351,0.0368276892430279,0.11254980079681275,227,152,0.00013755591030817558
word_svm,standard,deepseek-v4-pro,1004,0.39641434262948205,0.46912350597609564,0.07270916334661355,0.036852589641434265,0.10856573705179283,212,139,0.00011533593971222029
word_svm,standard,doubao-seed-2.0-lite,1004,0.38745019920318724,0.4402390438247012,0.052788844621513946,0.01593625498007968,0.09063745019920319,202,149,0.005435782790275369
word_svm,standard,doubao-seed-2.0-pro,1004,0.35856573705179284,0.4452191235059761,0.08665338645418327,0.049800796812749,0.12250996015936255,225,138,5.778796428591089e-06
word_svm,standard,glm-5.2,1004,0.4123505976095618,0.47908366533864544,0.06673306772908366,0.027888446215139442,0.10557768924302789,225,158,0.0007244986079746664
word_svm,standard,minimax-m2.7,1004,0.2958167330677291,0.4452191235059761,0.14940239043824702,0.11155378486055777,0.18625498007968128,266,116,1.1260432587740715e-14
word_svm,standard,minimax-m3,1004,0.33167330677290835,0.44322709163346613,0.11155378486055777,0.07370517928286853,0.15139442231075698,251,139,1.5264277336560878e-08
word_svm,standard,qwen3.5-4b,1004,0.3107569721115538,0.4252988047808765,0.1145418326693227,0.07569721115537849,0.15338645418326693,260,145,1.183941348360416e-08
word_svm,standard,qwen3.8-27b,1004,0.33167330677290835,0.41733067729083667,0.08565737051792828,0.045816733067729085,0.12450199203187251,241,155,1.8095917068223415e-05
