source_policy,score_panel,dimension,task,null_mse,global_model_mse,task_model_mse,relative_mse_reduction,split_p05,split_p95,fraction_splits_improved
conservative_cohort,consensus,epistemic_caution,ALL_EQUAL_TASK_WEIGHT,0.2091931964755348,0.2076997795066291,0.2100162281956854,-0.011118876643804076,-0.05369855334130186,0.013755721587712006,0.34
conservative_cohort,consensus,epistemic_caution,longtutor,0.2868055555555556,0.277149920269969,0.2800890828951442,-0.01024604217640629,-0.08432508838025435,0.029200597476184965,0.5
conservative_cohort,consensus,epistemic_caution,mathdial_hard,0.13994107744107742,0.1461539361174599,0.14951670927356706,-0.023019613711195434,-0.10161979654434067,0.02487593449469343,0.33
conservative_cohort,consensus,epistemic_caution,mathdial_standard,0.20083295642997137,0.19979548213245835,0.20044289241834498,-0.0032358060326298454,-0.050198274199952174,0.027747780358690362,0.53
conservative_cohort,consensus,help_directness,ALL_EQUAL_TASK_WEIGHT,0.8853128088513661,0.6724629485705672,0.6707180995785211,0.0026127122023436966,-0.0296349332603421,0.030293984935475048,0.61
conservative_cohort,consensus,help_directness,longtutor,0.5993055555555555,0.47042773217892125,0.4451337050263479,0.05377210351933233,-0.03630050565886732,0.10003205291962598,0.9
conservative_cohort,consensus,help_directness,mathdial_hard,0.9926346801346803,0.7851062104426595,0.8016017742498187,-0.02062905390210211,-0.09077922996296275,0.02815789910665934,0.35
conservative_cohort,consensus,help_directness,mathdial_standard,1.0639981908638625,0.7618549030901209,0.7654188194593968,-0.004676721158126896,-0.044961853395158825,0.025520067945890346,0.48
conservative_cohort,consensus,personalization,ALL_EQUAL_TASK_WEIGHT,0.5883449963984789,0.5367225917377788,0.4795220188386255,0.1067774386116385,0.05855515963500418,0.13659806259415794,1.0
conservative_cohort,consensus,personalization,longtutor,1.4923611111111108,1.266479460198153,1.1693539826415518,0.07696964970099535,0.0030884424097411558,0.1142440366681746,0.95
conservative_cohort,consensus,personalization,mathdial_hard,0.1517255892255892,0.1967228809430737,0.15446078225784649,0.21412536829290046,0.13154089121067872,0.26561608823456184,1.0
conservative_cohort,consensus,personalization,mathdial_standard,0.1209482888587366,0.14696543407210957,0.11475129161647826,0.21861801560956867,0.15888134613471394,0.2592197858764114,1.0
conservative_cohort,without_MiniMax-M3,affective_warmth,ALL_EQUAL_TASK_WEIGHT,0.9062082876163515,0.6366026766441715,0.6082278506784976,0.04461272716001702,0.00903557626234945,0.07062924704132167,0.97
conservative_cohort,without_MiniMax-M3,affective_warmth,longtutor,0.7470486111111111,0.5495641323310554,0.4608388464817942,0.161462826750432,0.09861362004944162,0.19549617027922522,1.0
conservative_cohort,without_MiniMax-M3,affective_warmth,mathdial_hard,0.9830246913580248,0.6986840004858327,0.7108495101149707,-0.017035907618122733,-0.0952033466086415,0.03272227272991331,0.36
conservative_cohort,without_MiniMax-M3,affective_warmth,mathdial_standard,0.9885515603799188,0.6615598971156266,0.6529951954387281,0.012996202143611331,-0.02693219558708526,0.04481877594309267,0.77
conservative_cohort,without_MiniMax-M3,autonomy_support,ALL_EQUAL_TASK_WEIGHT,0.8453897302907462,0.6530394261054133,0.6419248002067737,0.017100732434158123,-0.023977059249101894,0.04725950366101858,0.82
conservative_cohort,without_MiniMax-M3,autonomy_support,longtutor,0.6598958333333332,0.5389049728329375,0.49727806138708464,0.07721571119967713,9.706873842685408e-06,0.12852327086184695,0.95
conservative_cohort,without_MiniMax-M3,autonomy_support,mathdial_hard,0.986409231200898,0.7758558600682508,0.7773937330175988,-0.0014661710936505624,-0.09810811361045049,0.051338467747976985,0.52
conservative_cohort,without_MiniMax-M3,autonomy_support,mathdial_standard,0.8898641263380069,0.6443574454150517,0.6511026062156376,-0.010320148230820534,-0.07345870247875577,0.019350078151763973,0.44
conservative_cohort,without_MiniMax-M3,cognitive_load,ALL_EQUAL_TASK_WEIGHT,0.4596963362899308,0.3832018229127352,0.3806590370588725,0.006685577402262428,-0.029992497409897113,0.03326087039232765,0.65
conservative_cohort,without_MiniMax-M3,cognitive_load,longtutor,0.5026041666666666,0.38682004252163016,0.3736310999464654,0.03444067228926297,-0.04287447689945838,0.0786257686853598,0.81
conservative_cohort,without_MiniMax-M3,cognitive_load,mathdial_hard,0.4467066498316498,0.40318911132124463,0.40795337102583784,-0.011511360109135164,-0.07954073873258832,0.03646564499723815,0.43
conservative_cohort,without_MiniMax-M3,cognitive_load,mathdial_standard,0.429778192371476,0.3595963148953308,0.3603926402043143,-0.0022939591119716185,-0.059389787118566385,0.03694869859729649,0.53
conservative_cohort,without_MiniMax-M3,diagnostic_specificity,ALL_EQUAL_TASK_WEIGHT,0.9872178372307933,0.9268362702182631,0.919661889564781,0.007836961776847375,-0.040873164408665785,0.03553155464605147,0.72
conservative_cohort,without_MiniMax-M3,diagnostic_specificity,longtutor,1.1609375,1.0155395768070539,0.9714149216923116,0.043671056155418074,-0.023038920674540296,0.084165717827414,0.9
conservative_cohort,without_MiniMax-M3,diagnostic_specificity,mathdial_hard,1.1687008978675646,1.1196117594159416,1.162801102761047,-0.038003453331967994,-0.14480239020620522,0.010692036942215979,0.21
conservative_cohort,without_MiniMax-M3,diagnostic_specificity,mathdial_standard,0.6320151138248152,0.6453574744317939,0.6247696442409846,0.031722130052387575,-0.01308549967514756,0.06579743946714837,0.89
conservative_cohort,without_MiniMax-M3,elicitation,ALL_EQUAL_TASK_WEIGHT,1.3828275674098642,1.04017489098532,1.009010397108701,0.030001293837678085,-0.009407239085632258,0.05668916919090163,0.91
conservative_cohort,without_MiniMax-M3,elicitation,longtutor,1.1395833333333332,0.8867086255340025,0.7970770226504446,0.10117706369170369,0.029446643755825504,0.1476752357306292,0.98
conservative_cohort,without_MiniMax-M3,elicitation,mathdial_hard,1.5705843153759822,1.20994068031627,1.2007799490789295,0.007981899239155056,-0.08444963109761731,0.06308301915010263,0.61
conservative_cohort,without_MiniMax-M3,elicitation,mathdial_standard,1.4383150535202773,1.0238753671056868,1.0291742195967288,-0.005134432638302161,-0.05209323171666667,0.02450485617508484,0.45
conservative_cohort,without_MiniMax-M3,epistemic_caution,ALL_EQUAL_TASK_WEIGHT,0.23699747963325904,0.23073177611814166,0.23381155234005363,-0.013277894977022538,-0.05277176690927936,0.01567670352006142,0.25
conservative_cohort,without_MiniMax-M3,epistemic_caution,longtutor,0.3486111111111111,0.3302129778567467,0.3347873334159543,-0.013438216164135324,-0.07298560488389229,0.030263781562517987,0.42
