event,replicate,comparison,gain,training_rows,unique_original_training_sources,default_minus_style_risk
answer_reveal,50,default_vs_context,0.0902692728349676,1280,18,-0.08015264293983765
answer_reveal,50,student_state_vs_domain,0.0004499327053402169,1280,18,-0.08015264293983765
answer_reveal,51,default_vs_context,0.09119535081032923,1280,20,-0.07632136286819191
answer_reveal,51,student_state_vs_domain,0.00024979014854813186,1280,20,-0.07632136286819191
answer_reveal,52,default_vs_context,0.08982998078868787,1240,20,-0.07548588006844537
answer_reveal,52,student_state_vs_domain,-0.00017497948887253145,1240,20,-0.07548588006844537
answer_reveal,53,default_vs_context,0.09257306275772623,1280,23,-0.0714100962389517
answer_reveal,53,student_state_vs_domain,9.186123779592742e-05,1280,23,-0.0714100962389517
answer_reveal,54,default_vs_context,0.09001779960702647,1280,17,-0.07682524585016434
answer_reveal,54,student_state_vs_domain,-0.0002402213459692104,1280,17,-0.07682524585016434
answer_reveal,55,default_vs_context,0.08979030378786687,1240,21,-0.07408723331101588
answer_reveal,55,student_state_vs_domain,1.2803782715981038e-05,1240,21,-0.07408723331101588
answer_reveal,56,default_vs_context,0.0895917908699306,1320,20,-0.07388402607739272
answer_reveal,56,student_state_vs_domain,0.0002093838349956495,1320,20,-0.07388402607739272
answer_reveal,57,default_vs_context,0.08888664098078661,1320,22,-0.07462498855761615
answer_reveal,57,student_state_vs_domain,-0.0003734175945597912,1320,22,-0.07462498855761615
answer_reveal,58,default_vs_context,0.08992835967648313,1400,21,-0.07356419659829785
answer_reveal,58,student_state_vs_domain,-0.0008983521775120101,1400,21,-0.07356419659829785
answer_reveal,59,default_vs_context,0.09079252501201045,1280,22,-0.059990263373175576
answer_reveal,59,student_state_vs_domain,5.1449855337067085e-05,1280,22,-0.059990263373175576
answer_reveal,60,default_vs_context,0.08961291532418579,1320,15,-0.07490094465224874
answer_reveal,60,student_state_vs_domain,-0.00027685376927914784,1320,15,-0.07490094465224874
answer_reveal,61,default_vs_context,0.09023601312108263,1240,17,-0.0687583146839361
answer_reveal,61,student_state_vs_domain,-0.0005781436562948272,1240,17,-0.0687583146839361
answer_reveal,62,default_vs_context,0.08838968797509035,1280,19,-0.07933574612912907
answer_reveal,62,student_state_vs_domain,-0.00013755859238290258,1280,19,-0.07933574612912907
answer_reveal,63,default_vs_context,0.09084767504956465,1240,20,-0.07166054767260932
answer_reveal,63,student_state_vs_domain,0.00022460788065824244,1240,20,-0.07166054767260932
answer_reveal,64,default_vs_context,0.09075720722854842,1240,19,-0.07041271670223968
answer_reveal,64,student_state_vs_domain,-0.00012991677755149617,1240,19,-0.07041271670223968
answer_reveal,65,default_vs_context,0.0918096369749605,1240,18,-0.08076428884260126
answer_reveal,65,student_state_vs_domain,-0.00018514019602490495,1240,18,-0.08076428884260126
answer_reveal,66,default_vs_context,0.09093616426176093,1280,22,-0.07089128971359951
answer_reveal,66,student_state_vs_domain,0.00012670935215468304,1280,22,-0.07089128971359951
answer_reveal,67,default_vs_context,0.08799141974161276,1280,19,-0.0803164590142981
answer_reveal,67,student_state_vs_domain,-0.0016973125608189532,1280,19,-0.0803164590142981
answer_reveal,68,default_vs_context,0.08696079852930408,1360,18,-0.07882161804954252
answer_reveal,68,student_state_vs_domain,-7.83037773120221e-05,1360,18,-0.07882161804954252
answer_reveal,69,default_vs_context,0.09105916302204914,1240,20,-0.07210810021379419
answer_reveal,69,student_state_vs_domain,-2.011700410093492e-05,1240,20,-0.07210810021379419
answer_reveal,70,default_vs_context,0.08742180847056236,1360,19,-0.0790263491271132
answer_reveal,70,student_state_vs_domain,-0.0006485992968594673,1360,19,-0.0790263491271132
answer_reveal,71,default_vs_context,0.08897120771918553,1320,19,-0.07007062663072476
answer_reveal,71,student_state_vs_domain,-0.00013720586078629082,1320,19,-0.07007062663072476
answer_reveal,72,default_vs_context,0.08826319107137423,1280,18,-0.07547202556687127
answer_reveal,72,student_state_vs_domain,-0.0005674469517223252,1280,18,-0.07547202556687127
answer_reveal,73,default_vs_context,0.09050003043978021,1200,22,-0.0745137195915762
answer_reveal,73,student_state_vs_domain,5.225891053728393e-05,1200,22,-0.0745137195915762
answer_reveal,74,default_vs_context,0.09043838879326659,1280,20,-0.08041132718090839
answer_reveal,74,student_state_vs_domain,-1.638472902895649e-05,1280,20,-0.08041132718090839
answer_reveal,75,default_vs_context,0.08457676973595196,1280,17,-0.06997307978215855
answer_reveal,75,student_state_vs_domain,0.0005084726029513098,1280,17,-0.06997307978215855
answer_reveal,76,default_vs_context,0.08975192775431066,1200,18,-0.07755498356240724
answer_reveal,76,student_state_vs_domain,0.00032741450365458835,1200,18,-0.07755498356240724
answer_reveal,77,default_vs_context,0.09069425080875954,1400,19,-0.08049049414093537
answer_reveal,77,student_state_vs_domain,-1.8398158541377274e-05,1400,19,-0.08049049414093537
answer_reveal,78,default_vs_context,0.09095127062362313,1440,20,-0.07950161774610148
answer_reveal,78,student_state_vs_domain,0.0008277237177618801,1440,20,-0.07950161774610148
answer_reveal,79,default_vs_context,0.08767034957047212,1280,21,-0.07464756618883836
answer_reveal,79,student_state_vs_domain,-0.0003874341222027955,1280,21,-0.07464756618883836
answer_reveal,80,default_vs_context,0.08976310031602008,1400,20,-0.07998685836215527
answer_reveal,80,student_state_vs_domain,0.0005356828406254677,1400,20,-0.07998685836215527
answer_reveal,81,default_vs_context,0.09055907108458497,1320,21,-0.07477607501570785
answer_reveal,81,student_state_vs_domain,5.697794439868398e-05,1320,21,-0.07477607501570785
answer_reveal,82,default_vs_context,0.08836314201606635,1240,17,-0.06541540518513958
answer_reveal,82,student_state_vs_domain,-1.7276263598847708e-05,1240,17,-0.06541540518513958
answer_reveal,83,default_vs_context,0.09222359649966361,1200,18,-0.07479601216614964
answer_reveal,83,student_state_vs_domain,-0.0004097867559147844,1200,18,-0.07479601216614964
answer_reveal,84,default_vs_context,0.08803197648615993,1360,17,-0.07094392416858938
answer_reveal,84,student_state_vs_domain,-9.827037502545266e-05,1360,17,-0.07094392416858938
answer_reveal,85,default_vs_context,0.08656773575813692,1320,14,-0.058965845783691184
answer_reveal,85,student_state_vs_domain,-0.00021349125779056288,1320,14,-0.058965845783691184
