source_policy,score_panel,dimension,task,null_mse,global_model_mse,task_model_mse,relative_mse_reduction,split_p05,split_p95,fraction_splits_improved
conservative_cohort,without_deepseek-v4-pro,affective_warmth,ALL_EQUAL_TASK_WEIGHT,0.5047998185105617,0.3908385166179365,0.3361227512662594,0.14007507918213435,0.1096957829963301,0.168464311741395,1.0
conservative_cohort,without_deepseek-v4-pro,affective_warmth,longtutor,0.5647569444444445,0.40420802131521355,0.33790526868135834,0.16409628044475644,0.1037826626682315,0.20529847361278666,1.0
conservative_cohort,without_deepseek-v4-pro,affective_warmth,mathdial_hard,0.767922278338945,0.5684669929480783,0.5604163411898382,0.014576048083129227,-0.07205397863306516,0.06707643332000453,0.73
conservative_cohort,without_deepseek-v4-pro,affective_warmth,mathdial_standard,0.6865200512588572,0.46872126524413976,0.4461693951938412,0.04819533832981558,-0.0039798494884442535,0.08164903815330701,0.93
conservative_cohort,without_deepseek-v4-pro,affective_warmth,socratic,0.0,0.12195778696431438,0.0,1.0,1.0,1.0,1.0
conservative_cohort,without_deepseek-v4-pro,autonomy_support,ALL_EQUAL_TASK_WEIGHT,0.6229391729012764,0.4937431689217023,0.4454839179748385,0.09778765098390238,0.05625970925178791,0.12419469657446068,1.0
conservative_cohort,without_deepseek-v4-pro,autonomy_support,longtutor,0.5887152777777778,0.4511229982245758,0.39841236870825164,0.11689820803740225,0.05090455551301737,0.16426971859232534,1.0
conservative_cohort,without_deepseek-v4-pro,autonomy_support,mathdial_hard,0.9626999158249159,0.7578805841359616,0.7343024796896809,0.03143123169390318,-0.06390519924072927,0.0855949837412531,0.82
conservative_cohort,without_deepseek-v4-pro,autonomy_support,mathdial_standard,0.8600463591135233,0.6001964089225039,0.5737952108495495,0.04405240039891049,-0.012477009549378925,0.07644389486274135,0.92
conservative_cohort,without_deepseek-v4-pro,autonomy_support,socratic,0.0802951388888889,0.16577268440376777,0.0754256126518719,0.5448525663298112,0.5205356117714729,0.5634702792735635,1.0
conservative_cohort,without_deepseek-v4-pro,cognitive_load,ALL_EQUAL_TASK_WEIGHT,0.34295993268610653,0.28977493244653113,0.2833439969771533,0.0222376370678998,-0.009004122980436758,0.04726365311178998,0.87
conservative_cohort,without_deepseek-v4-pro,cognitive_load,longtutor,0.36475694444444445,0.27075453681656564,0.2538737197619883,0.06250746922183105,-0.03239970629526819,0.11076026407000317,0.93
conservative_cohort,without_deepseek-v4-pro,cognitive_load,mathdial_hard,0.3577090347923682,0.3219975544700472,0.3180704437447525,0.012494314678688086,-0.06521494665299442,0.06424432532296372,0.71
conservative_cohort,without_deepseek-v4-pro,cognitive_load,mathdial_standard,0.34147444595205784,0.2923961114800416,0.2927261530424046,-0.0010700340202903303,-0.053958238396400696,0.03007593318768943,0.58
conservative_cohort,without_deepseek-v4-pro,cognitive_load,socratic,0.30789930555555556,0.27395152701946995,0.26870567135946755,0.01908704166092682,-0.022215389830801856,0.04359275574589026,0.83
conservative_cohort,without_deepseek-v4-pro,diagnostic_specificity,ALL_EQUAL_TASK_WEIGHT,0.5286345818518936,0.508082295823744,0.4904355061323605,0.03481444359037609,-0.006159218058513914,0.05766271943769626,0.91
conservative_cohort,without_deepseek-v4-pro,diagnostic_specificity,longtutor,0.7387152777777779,0.6534207020418493,0.5890597181145089,0.09861874806670326,0.053393284369851426,0.14166535391545607,0.99
conservative_cohort,without_deepseek-v4-pro,diagnostic_specificity,mathdial_hard,0.8481867283950616,0.8156782466942897,0.842500988292689,-0.0325002602704775,-0.1191660894890653,0.016555885048591606,0.22
conservative_cohort,without_deepseek-v4-pro,diagnostic_specificity,mathdial_standard,0.520084237901402,0.5208178200525367,0.5224616048323344,-0.003184999412430134,-0.04889654491051672,0.025589698793247264,0.51
conservative_cohort,without_deepseek-v4-pro,diagnostic_specificity,socratic,0.007552083333333332,0.04241241450630039,0.007719713289909646,0.8171734246588543,0.7983534168173245,0.8375573429545239,1.0
conservative_cohort,without_deepseek-v4-pro,elicitation,ALL_EQUAL_TASK_WEIGHT,0.9734548696176105,0.7961908758634102,0.7085313173993574,0.11017167839399229,0.07397870636143516,0.13620043661156542,1.0
conservative_cohort,without_deepseek-v4-pro,elicitation,longtutor,0.9074652777777777,0.7252601288757977,0.6330126541630728,0.12736461544869246,0.0533582601568575,0.17195373858076715,0.99
conservative_cohort,without_deepseek-v4-pro,elicitation,mathdial_hard,1.5648849607182942,1.2389118742565175,1.204917108739939,0.02781550012215417,-0.05657699743618809,0.08306032963483638,0.79
conservative_cohort,without_deepseek-v4-pro,elicitation,mathdial_standard,1.399333823307704,1.0182646012896999,0.9737965118797693,0.043747689187804806,-0.007820668858336965,0.07522253576233275,0.9
conservative_cohort,without_deepseek-v4-pro,elicitation,socratic,0.02213541666666667,0.2023268990316259,0.022398994814647907,0.889203809704641,0.8817596970238578,0.8948494972265701,1.0
conservative_cohort,without_deepseek-v4-pro,epistemic_caution,ALL_EQUAL_TASK_WEIGHT,0.11098397820451615,0.11025810511918549,0.1095438689085409,0.0065532549761019784,-0.024598011744563154,0.032405719389193934,0.65
conservative_cohort,without_deepseek-v4-pro,epistemic_caution,longtutor,0.1762152777777778,0.16958543708969523,0.166195337216167,0.02024340724744042,-0.04448466829608566,0.06892735245884436,0.78
conservative_cohort,without_deepseek-v4-pro,epistemic_caution,mathdial_hard,0.10662177328843997,0.10837816796125978,0.11233424426357091,-0.03628993751462332,-0.11116818298208382,0.012819039256011508,0.15
conservative_cohort,without_deepseek-v4-pro,epistemic_caution,mathdial_standard,0.15554330619629128,0.1534942997413021,0.15395554190774835,-0.002874794485345642,-0.06259157001263624,0.02790846309626418,0.54
conservative_cohort,without_deepseek-v4-pro,epistemic_caution,socratic,0.005555555555555555,0.009574515684484825,0.005690352246677289,0.4039559968181052,0.36297432781452993,0.45728974307962045,1.0
conservative_cohort,without_deepseek-v4-pro,help_directness,ALL_EQUAL_TASK_WEIGHT,0.6190132238114981,0.49713362324897553,0.4649775096684352,0.06474685609946113,0.03284685926002595,0.08943387019427328,1.0
conservative_cohort,without_deepseek-v4-pro,help_directness,longtutor,0.5638888888888889,0.4136663974339067,0.40207031651133734,0.028059953349079573,-0.050218889381403675,0.07647153457965938,0.79
conservative_cohort,without_deepseek-v4-pro,help_directness,mathdial_hard,0.9155092592592594,0.7275370558345097,0.7268894609825216,0.001241849103085464,-0.07355306032056026,0.0509938531443532,0.58
conservative_cohort,without_deepseek-v4-pro,help_directness,mathdial_standard,0.9190505804311775,0.6749306456521554,0.6562990048785237,0.02766616456328489,-0.014836983885292265,0.0568508980033069,0.87
conservative_cohort,without_deepseek-v4-pro,help_directness,socratic,0.07760416666666667,0.1724003940753301,0.07465125630135808,0.5667668113382811,0.5415660721649111,0.582988105682108,1.0
conservative_cohort,without_deepseek-v4-pro,personalization,ALL_EQUAL_TASK_WEIGHT,0.3547814477433958,0.32560475370682546,0.2758552760701231,0.15294314490279035,0.10850512396278833,0.18196822888291714,1.0
