classifier_variant,family,target_act,model,context_count,generic_match,pedagogy_match,mean_delta,context_bootstrap_ci_low,context_bootstrap_ci_high
char_svm,standard,focus,minimax-m2.7,469,0.35181236673773986,0.5330490405117271,0.1812366737739872,0.12366737739872068,0.23667377398720682
char_svm,standard,focus,minimax-m3,469,0.4200426439232409,0.511727078891258,0.09168443496801706,0.029850746268656716,0.14925373134328357
char_svm,standard,focus,qwen3.5-4b,469,0.4904051172707889,0.5309168443496801,0.04051172707889126,-0.019189765458422176,0.09808102345415778
char_svm,standard,focus,qwen3.8-27b,469,0.32409381663113007,0.5394456289978679,0.21535181236673773,0.15991471215351813,0.27078891257995735
char_svm,standard,generic,deepseek-v4-flash,77,0.12987012987012986,0.23376623376623376,0.1038961038961039,0.0,0.19480519480519481
char_svm,standard,generic,deepseek-v4-pro,77,0.14285714285714285,0.16883116883116883,0.025974025974025976,-0.03896103896103896,0.09090909090909091
char_svm,standard,generic,doubao-seed-2.0-lite,77,0.35064935064935066,0.2727272727272727,-0.07792207792207792,-0.18181818181818182,0.025974025974025976
char_svm,standard,generic,doubao-seed-2.0-pro,77,0.14285714285714285,0.14285714285714285,0.0,-0.09090909090909091,0.09090909090909091
char_svm,standard,generic,glm-5.2,77,0.14285714285714285,0.12987012987012986,-0.012987012987012988,-0.1038961038961039,0.07792207792207792
char_svm,standard,generic,minimax-m2.7,77,0.06493506493506493,0.12987012987012986,0.06493506493506493,-0.012987012987012988,0.14285714285714285
char_svm,standard,generic,minimax-m3,77,0.15584415584415584,0.23376623376623376,0.07792207792207792,-0.03896103896103896,0.19480519480519481
char_svm,standard,generic,qwen3.5-4b,77,0.14285714285714285,0.2077922077922078,0.06493506493506493,-0.03896103896103896,0.16883116883116883
char_svm,standard,generic,qwen3.8-27b,77,0.1038961038961039,0.09090909090909091,-0.012987012987012988,-0.07792207792207792,0.05194805194805195
char_svm,standard,probing,deepseek-v4-flash,410,0.1951219512195122,0.4609756097560976,0.2658536585365854,0.2097560975609756,0.31957317073170755
char_svm,standard,probing,deepseek-v4-pro,410,0.3121951219512195,0.45365853658536587,0.14146341463414633,0.08292682926829269,0.2
char_svm,standard,probing,doubao-seed-2.0-lite,410,0.20243902439024392,0.3439024390243902,0.14146341463414633,0.08780487804878048,0.1951219512195122
char_svm,standard,probing,doubao-seed-2.0-pro,410,0.1878048780487805,0.36829268292682926,0.18048780487804877,0.12926829268292683,0.23414634146341465
char_svm,standard,probing,glm-5.2,410,0.375609756097561,0.524390243902439,0.14878048780487804,0.09024390243902439,0.2073170731707317
char_svm,standard,probing,minimax-m2.7,410,0.15365853658536585,0.4097560975609756,0.25609756097560976,0.2,0.3121951219512195
char_svm,standard,probing,minimax-m3,410,0.2048780487804878,0.5024390243902439,0.2975609756097561,0.24390243902439024,0.35121951219512193
char_svm,standard,probing,qwen3.5-4b,410,0.2097560975609756,0.3951219512195122,0.18536585365853658,0.12682926829268293,0.23902439024390243
char_svm,standard,probing,qwen3.8-27b,410,0.16585365853658537,0.4,0.23414634146341465,0.18048780487804877,0.29024390243902437
